label,variant,ar1_alpha,log_clip,inv_beta,use_ar1,use_log,elapsed_s,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,dishes_day2,dishes_day3,dishes_day4,dishes_3day,gate_a,gate_b,gate_c,gate_d,gate_e,target,passed_strict,delta_fold_min,delta_fold_median,delta_mean,delta_dishes_3d,min_fold_delta,max_dd_ratio,sharpe
1b_a2.0_c7_b0.1,1b,2.0,7,0.1,True,True,56.9,462884,453574,462884,494232,462884,453574,462884,467291.6,1410690,22.0752,25098,21110,9748,13753,44611,True,True,True,True,True,True,True,7374,6626.0,6332.199999999953,18410,4409,1.0134054752483244,22.0752
1b_a2.0_c7_b0.2,1b,2.0,7,0.2,True,True,60.3,462212,453574,462212,494755,462212,453574,462212,466993.0,1410541,21.6511,25098,21633,9076,13753,44462,True,True,True,True,True,True,True,7374,5954.0,6033.599999999977,18261,4932,1.0134054752483244,21.6511
1b_a2.5_c5_b0.2,1b,2.5,5,0.2,True,True,53.5,463300,453536,463300,493771,463300,453536,463300,467441.4,1410608,22.405,25292,20649,10164,13716,44529,True,True,True,True,True,True,True,7336,7042.0,6482.0,18328,3948,1.0212387951223452,22.405
1b_a2.5_c5_b0.1,1b,2.5,5,0.1,True,True,46.8,463300,453536,463300,494156,463300,453536,463300,467518.4,1410993,22.1825,25292,21034,10164,13716,44914,True,True,True,True,True,True,True,7336,7042.0,6559.0,18713,4333,1.0212387951223452,22.1825
1b_a2.0_c5_b0.1,1b,2.0,5,0.1,True,True,52.1,462984,453536,462984,494096,462984,453536,462984,467316.8,1410616,22.1562,25292,20974,9847,13716,44537,True,True,True,True,True,True,True,7336,6726.0,6357.399999999965,18336,4273,1.0212387951223452,22.1562
1b_a2.0_c5_b0.2,1b,2.0,5,0.2,True,True,59.0,462756,453536,462756,494493,462756,453536,462756,467259.4,1410786,21.8879,25292,21371,9620,13716,44707,True,True,True,True,True,True,True,7336,6498.0,6300.0,18506,4670,1.0212387951223452,21.8879
1b_a2.0_c7_b0.4,1b,2.0,7,0.4,True,True,60.3,462558,453492,462558,493882,462558,453492,462558,467009.6,1409931,22.1763,25292,20760,9421,13671,43852,True,True,True,True,True,True,True,7292,6300.0,6050.199999999953,17651,4059,1.0212387951223452,22.1763
1b_a2.5_c7_b0.4,1b,2.5,7,0.4,True,True,45.9,462792,453492,462792,494222,462792,453492,462792,467218.0,1410505,22.0284,25292,21100,9655,13671,44426,True,True,True,True,True,True,True,7292,6534.0,6258.599999999977,18225,4399,1.0212387951223452,22.0284
1b_a1.5_c5_b0.1,1b,1.5,5,0.1,True,True,61.8,462156,453398,462156,493923,462156,453398,462156,466757.8,1409477,22.0332,25292,20801,9020,13577,43398,True,True,True,True,True,True,True,7198,5898.0,5798.399999999965,17197,4100,1.0212387951223452,22.0332
1b_a0.5_c3_b0.4,1b,0.5,3,0.4,True,True,196.0,462264,453394,462264,494222,462264,453394,462264,466881.6,1409880,21.8847,25592,21100,9127,13574,43801,True,True,True,True,True,True,True,7194,6006.0,5922.199999999953,17600,4399,1.0333521763708309,21.8847
1b_a0.5_c3_b0.6,1b,0.5,3,0.6,True,True,196.0,461644,453388,461644,493305,461644,453388,461644,466325.0,1408337,22.279,25592,20183,8508,13567,42258,True,True,True,True,True,True,True,7188,5386.0,5365.599999999977,16057,3482,1.0333521763708309,22.279
1b_a2.0_c5_b0.4,1b,2.0,5,0.4,True,True,59.0,462942,453378,462942,493827,462942,453378,462942,467206.2,1410147,22.2346,25292,20705,9806,13557,44068,True,True,True,True,True,True,True,7178,6684.0,6246.799999999988,17867,4004,1.0212387951223452,22.2346
1b_a2.5_c5_b0.4,1b,2.5,5,0.4,True,True,53.0,463476,453378,463476,494239,463476,453378,463476,467609.0,1411092,22.0995,25292,21117,10339,13557,45013,True,True,True,True,True,True,True,7178,7218.0,6649.599999999977,18812,4416,1.0212387951223452,22.0995
1b_a1.5_c5_b0.4,1b,1.5,5,0.4,True,True,51.1,462178,453378,462178,494442,462178,453378,462178,466870.8,1409998,21.7386,25292,21320,9042,13557,43919,True,True,True,True,True,True,True,7178,5920.0,5911.399999999965,17718,4619,1.0212387951223452,21.7386
